participant_id,SONAId,Condition,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,position_in_text,device,hand,experiment_start_time,experiment_end_time,experiment_duration,experiment
YKVBHLLU,emalie,1,39,2,8, cultural ,10762,850,124,210,0.22257446919732704,0.5608333587646485,101.56666564941406,835.966682434082,141.56666564941406,899.0166702270508,1,8,Yes,8,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,9, group ,11512,909,126,300,0.19549607613938969,0.6108333587646484,101.56666564941406,899.0166702270508,141.56666564941406,950.0833206176758,1,9,Yes,9,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,10, move ,12923,974,123,121,0.4877634629448101,0.5358333587646484,101.56666564941406,950.0833206176758,141.56666564941406,999.1166763305664,1,10,Yes,10,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,13, new ,13664,1065,126,97,0.5095870674883636,0.6108333587646484,101.56666564941406,1048.1666641235352,141.56666564941406,1081.199951171875,1,13,Yes,13,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,14," one, ",15232,444,165,105,0.26924660244258763,0.5858333587646485,141.56666564941406,433.2166748046875,181.56666564941406,473.2666702270508,2,1,Yes,14,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,16, bring ,16095,550,163,129,0.8368482750958882,0.5358333587646484,141.56666564941406,512.2999954223633,181.56666564941406,557.349983215332,2,3,Yes,16,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,17, genetic ,17227,590,164,165,0.5177062803129244,0.5608333587646485,141.56666564941406,557.349983215332,181.56666564941406,620.4166641235352,2,4,Yes,17,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,21, the ,18412,752,165,158,0.216981055386879,0.5858333587646485,141.56666564941406,745.4833374023438,181.56666564941406,775.5166625976562,2,8,Yes,21,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,17, genetic ,19596,600,162,187,0.6762686123715201,0.5108333587646484,141.56666564941406,557.349983215332,181.56666564941406,620.4166641235352,2,4,Yes,17,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
YKVBHLLU,emalie,1,39,2,18, diversity ,21247,659,166,143,0.5431721426267574,0.6108333587646484,141.56666564941406,620.4166641235352,181.56666564941406,691.4500122070312,2,5,Yes,18,Computer Mouse,Left,1970-01-01T00:00:00.629Z,2026-03-16T22:18:08.329Z,1773699487700,
